
    # |      % | total% | amount | word
    ---------------------------------------
  584 |  0.016 | 71.455 |    318 | meet 
  585 |  0.016 | 71.471 |    318 | line 
  586 |  0.016 | 71.487 |    318 | forward 
  587 |  0.016 | 71.503 |    317 | stopped 
  588 |  0.016 | 71.519 |    317 | today 
  589 |  0.016 | 71.535 |    316 | beyond 
  590 |  0.016 | 71.551 |    314 | different 
  591 |  0.016 | 71.567 |    314 | beautiful 
  592 |  0.016 | 71.582 |    313 | scrooge 
  593 |  0.016 | 71.598 |    313 | thy 
  594 |  0.016 | 71.614 |    312 | rochester 
  595 |  0.016 | 71.630 |    311 | st 
  596 |  0.016 | 71.645 |    310 | heavy 
  597 |  0.016 | 71.661 |    310 | smile 
  598 |  0.016 | 71.676 |    309 | bring 
  599 |  0.016 | 71.692 |    309 | below 
  600 |  0.016 | 71.707 |    308 | goes 
  601 |  0.015 | 71.723 |    307 | walk 
  602 |  0.015 | 71.738 |    306 | interest 
  603 |  0.015 | 71.754 |    306 | information 
  604 |  0.015 | 71.769 |    306 | cause 
  605 |  0.015 | 71.785 |    306 | clear 
  606 |  0.015 | 71.800 |    305 | chair 
  607 |  0.015 | 71.815 |    303 | negro 
  608 |  0.015 | 71.830 |    300 | written 
  609 |  0.015 | 71.845 |    300 | whatever 
  610 |  0.015 | 71.861 |    300 | sit 
  611 |  0.015 | 71.876 |    300 | helsing 
  612 |  0.015 | 71.891 |    299 | warn't 
  613 |  0.015 | 71.906 |    298 | f 
  614 |  0.015 | 71.921 |    298 | dinner 
  615 |  0.015 | 71.936 |    298 | natural 
  616 |  0.015 | 71.951 |    297 | fair 
  617 |  0.015 | 71.966 |    297 | married 
  618 |  0.015 | 71.981 |    297 | write 
  619 |  0.015 | 71.996 |    295 | further 
  620 |  0.015 | 72.010 |    295 | story 
  621 |  0.015 | 72.025 |    295 | fact 
  622 |  0.015 | 72.040 |    295 | road 
  623 |  0.015 | 72.055 |    295 | woods 
  624 |  0.015 | 72.070 |    294 | slowly 
  625 |  0.015 | 72.085 |    294 | entered 
  626 |  0.015 | 72.099 |    294 | bennet 
  627 |  0.015 | 72.114 |    293 | account 
  628 |  0.015 | 72.129 |    293 | carried 
  629 |  0.015 | 72.144 |    293 | seeing 
  630 |  0.015 | 72.158 |    292 | city 
  631 |  0.015 | 72.173 |    292 | unless 
  632 |  0.015 | 72.188 |    292 | pass 
  633 |  0.015 | 72.203 |    292 | daughter 
  634 |  0.015 | 72.217 |    291 | happened 
  635 |  0.015 | 72.232 |    291 | lived 
  636 |  0.015 | 72.247 |    290 | laws 
  637 |  0.015 | 72.261 |    290 | thank 
  638 |  0.015 | 72.276 |    288 | makes 
  639 |  0.014 | 72.290 |    287 | charge 
  640 |  0.014 | 72.305 |    287 | blue 
  641 |  0.014 | 72.319 |    287 | wait 
  642 |  0.014 | 72.333 |    286 | usual 
  643 |  0.014 | 72.348 |    286 | strength 
  644 |  0.014 | 72.362 |    286 | play 
  645 |  0.014 | 72.377 |    286 | chance 
  646 |  0.014 | 72.391 |    286 | edna 
  647 |  0.014 | 72.405 |    285 | die 
  648 |  0.014 | 72.420 |    285 | london 
  649 |  0.014 | 72.434 |    285 | outside 
  650 |  0.014 | 72.449 |    285 | drew 
  651 |  0.014 | 72.463 |    285 | feelings 
  652 |  0.014 | 72.477 |    284 | real 
  653 |  0.014 | 72.492 |    284 | agree 
  654 |  0.014 | 72.506 |    284 | master 
  655 |  0.014 | 72.520 |    284 | front 
  656 |  0.014 | 72.534 |    284 | continued 
  657 |  0.014 | 72.549 |    283 | common 
  658 |  0.014 | 72.563 |    283 | paragraph 
  659 |  0.014 | 72.577 |    282 | watch 
  660 |  0.014 | 72.591 |    281 | besides 
  661 |  0.014 | 72.605 |    281 | paid 
  662 |  0.014 | 72.620 |    280 | thinking 
  663 |  0.014 | 72.634 |    280 | deal 
  664 |  0.014 | 72.648 |    278 | cut 
  665 |  0.014 | 72.662 |    278 | broken 
  666 |  0.014 | 72.676 |    278 | foot 
  667 |  0.014 | 72.690 |    277 | corner 
  668 |  0.014 | 72.704 |    276 | save 
  669 |  0.014 | 72.717 |    275 | length 
  670 |  0.014 | 72.731 |    275 | silent 
  671 |  0.014 | 72.745 |    274 | necessary 
  672 |  0.014 | 72.759 |    273 | age 
  673 |  0.014 | 72.773 |    273 | turning 
  674 |  0.014 | 72.786 |    272 | english 
  675 |  0.014 | 72.800 |    272 | notice 
  676 |  0.014 | 72.814 |    272 | expression 
  677 |  0.014 | 72.827 |    272 | sitting 
  678 |  0.014 | 72.841 |    271 | prince 
  679 |  0.014 | 72.855 |    270 | grew 
  680 |  0.014 | 72.868 |    269 | especially 
  681 |  0.014 | 72.882 |    268 | ebook 
  682 |  0.014 | 72.895 |    268 | laugh 
  683 |  0.014 | 72.909 |    268 | algernon 
  684 |  0.013 | 72.922 |    267 | pleasant 
  685 |  0.013 | 72.936 |    266 | send 
  686 |  0.013 | 72.949 |    266 | week 
  687 |  0.013 | 72.962 |    266 | i've 
  688 |  0.013 | 72.976 |    265 | anyone 
  689 |  0.013 | 72.989 |    265 | tears 
  690 |  0.013 | 73.002 |    265 | fast 
  691 |  0.013 | 73.016 |    264 | start 
  692 |  0.013 | 73.029 |    264 | access 
  693 |  0.013 | 73.042 |    263 | law 
  694 |  0.013 | 73.056 |    263 | rich 
  695 |  0.013 | 73.069 |    263 | tone 
  696 |  0.013 | 73.082 |    262 | secret 
  697 |  0.013 | 73.095 |    262 | trying 
  698 |  0.013 | 73.108 |    262 | south 
  699 |  0.013 | 73.122 |    261 | bright 
  700 |  0.013 | 73.135 |    260 | future 
  701 |  0.013 | 73.148 |    260 | cry 
  702 |  0.013 | 73.161 |    260 | heaven 
  703 |  0.013 | 73.174 |    259 | died 
  704 |  0.013 | 73.187 |    259 | straight 
  705 |  0.013 | 73.200 |    258 | distance 
  706 |  0.013 | 73.213 |    258 | remained 
  707 |  0.013 | 73.226 |    257 | number 
  708 |  0.013 | 73.239 |    257 | observed 
  709 |  0.013 | 73.252 |    257 | floor 
  710 |  0.013 | 73.265 |    256 | following 
  711 |  0.013 | 73.278 |    256 | hat 
  712 |  0.013 | 73.290 |    255 | particular 
  713 |  0.013 | 73.303 |    255 | trademark 
  714 |  0.013 | 73.316 |    255 | professor 
  715 |  0.013 | 73.329 |    255 | beside 
  716 |  0.013 | 73.342 |    255 | quick 
  717 |  0.013 | 73.355 |    255 | wished 
  718 |  0.013 | 73.368 |    254 | england 
  719 |  0.013 | 73.380 |    254 | church 
  720 |  0.013 | 73.393 |    254 | cecily 
  721 |  0.013 | 73.406 |    253 | ladies 
  722 |  0.013 | 73.419 |    253 | wide 
  723 |  0.013 | 73.431 |    253 | afterwards 
  724 |  0.013 | 73.444 |    253 | uncle 
  725 |  0.013 | 73.457 |    253 | tonight 
  726 |  0.013 | 73.470 |    253 | fall 
  727 |  0.013 | 73.482 |    253 | laughed 
  728 |  0.013 | 73.495 |    253 | mouth 
  729 |  0.013 | 73.508 |    253 | duty 
  730 |  0.013 | 73.521 |    253 | dont 
  731 |  0.013 | 73.533 |    252 | refund 
  732 |  0.013 | 73.546 |    251 | looks 
  733 |  0.013 | 73.559 |    251 | wall 
  734 |  0.013 | 73.571 |    250 | art 
  735 |  0.013 | 73.584 |    250 | shut 
  736 |  0.013 | 73.596 |    250 | loved 
  737 |  0.013 | 73.609 |    249 | learn 
  738 |  0.013 | 73.621 |    249 | knowledge 
  739 |  0.013 | 73.634 |    249 | party 
  740 |  0.013 | 73.647 |    249 | instant 
  741 |  0.013 | 73.659 |    249 | sudden 
  742 |  0.013 | 73.672 |    249 | dress 
  743 |  0.012 | 73.684 |    248 | talking 
  744 |  0.012 | 73.697 |    247 | impossible 
  745 |  0.012 | 73.709 |    247 | plain 
  746 |  0.012 | 73.721 |    247 | attention 
  747 |  0.012 | 73.734 |    247 | trees 
  748 |  0.012 | 73.746 |    246 | started 
  749 |  0.012 | 73.759 |    246 | knows 
  750 |  0.012 | 73.771 |    246 | duke 
  751 |  0.012 | 73.783 |    245 | gentlemen 
  752 |  0.012 | 73.796 |    245 | green 
  753 |  0.012 | 73.808 |    245 | wood 
  754 |  0.012 | 73.820 |    243 | en 
  755 |  0.012 | 73.833 |    242 | six 
  756 |  0.012 | 73.845 |    242 | beginning 
  757 |  0.012 | 73.857 |    242 | liked 
  758 |  0.012 | 73.869 |    242 | books 
  759 |  0.012 | 73.881 |    242 | sisters 
  760 |  0.012 | 73.894 |    242 | beowulf 
  761 |  0.012 | 73.906 |    241 | expected 
  762 |  0.012 | 73.918 |    241 | letters 
  763 |  0.012 | 73.930 |    241 | sperm 
  764 |  0.012 | 73.942 |    240 | step 
  765 |  0.012 | 73.954 |    239 | opinion 
  766 |  0.012 | 73.966 |    239 | afternoon 
  767 |  0.012 | 73.978 |    239 | shook 
  768 |  0.012 | 73.990 |    239 | mary 
  769 |  0.012 | 74.002 |    238 | eat 
  770 |  0.012 | 74.014 |    238 | sky 
  771 |  0.012 | 74.026 |    238 | tom 
  772 |  0.012 | 74.038 |    237 | pale 
  773 |  0.012 | 74.050 |    236 | object 
  774 |  0.012 | 74.062 |    235 | happiness 
  775 |  0.012 | 74.074 |    235 | beauty 
  776 |  0.012 | 74.086 |    234 | winter 
  777 |  0.012 | 74.097 |    234 | scene 
  778 |  0.012 | 74.109 |    234 | shadow 
  779 |  0.012 | 74.121 |    234 | comfort 
  780 |  0.012 | 74.133 |    234 | forget 
  781 |  0.012 | 74.144 |    233 | fixed 
  782 |  0.012 | 74.156 |    232 | fancy 
  783 |  0.012 | 74.168 |    232 | showed 
  784 |  0.012 | 74.179 |    231 | follow 
  785 |  0.012 | 74.191 |    231 | visit 
  786 |  0.012 | 74.203 |    231 | tomorrow 
  787 |  0.012 | 74.214 |    231 | boys 
  788 |  0.012 | 74.226 |    231 | led 
  789 |  0.012 | 74.238 |    231 | ah 
  790 |  0.012 | 74.249 |    230 | including 
  791 |  0.012 | 74.261 |    230 | leaving 
  792 |  0.012 | 74.272 |    230 | pearl 
  793 |  0.012 | 74.284 |    230 | stubb 
  794 |  0.012 | 74.296 |    229 | conversation 
  795 |  0.012 | 74.307 |    229 | figure 
  796 |  0.012 | 74.319 |    229 | surprise 
  797 |  0.012 | 74.330 |    229 | music 
  798 |  0.012 | 74.342 |    229 | company 
  799 |  0.011 | 74.353 |    228 | raised 
  800 |  0.011 | 74.365 |    227 | fortune 
  801 |  0.011 | 74.376 |    227 | s 
  802 |  0.011 | 74.388 |    227 | view 
  803 |  0.011 | 74.399 |    227 | shore 
  804 |  0.011 | 74.410 |    227 | society 
  805 |  0.011 | 74.422 |    227 | lucy 
  806 |  0.011 | 74.433 |    226 | instead 
  807 |  0.011 | 74.445 |    226 | speaking 
  808 |  0.011 | 74.456 |    225 | effect 
  809 |  0.011 | 74.467 |    225 | count 
  810 |  0.011 | 74.479 |    225 | fresh 
  811 |  0.011 | 74.490 |    225 | moved 
  812 |  0.011 | 74.501 |    224 | pay 
  813 |  0.011 | 74.513 |    224 | asleep 
  814 |  0.011 | 74.524 |    224 | linde 
  815 |  0.011 | 74.535 |    223 | although 
  816 |  0.011 | 74.546 |    223 | summer 
  817 |  0.011 | 74.558 |    223 | clothes 
  818 |  0.011 | 74.569 |    223 | terrible 
  819 |  0.011 | 74.580 |    223 | caught 
  820 |  0.011 | 74.591 |    223 | mina 
  821 |  0.011 | 74.602 |    222 | placed 
  822 |  0.011 | 74.614 |    221 | evil 
  823 |  0.011 | 74.625 |    221 | act 
  824 |  0.011 | 74.636 |    221 | creature 
  825 |  0.011 | 74.647 |    220 | probably 
  826 |  0.011 | 74.658 |    220 | permission 
  827 |  0.011 | 74.669 |    220 | ways 
  828 |  0.011 | 74.680 |    220 | perfectly 
  829 |  0.011 | 74.691 |    220 | promise 
  830 |  0.011 | 74.702 |    220 | study 
  831 |  0.011 | 74.713 |    219 | pain 
  832 |  0.011 | 74.724 |    219 | associated 
  833 |  0.011 | 74.735 |    219 | running 
  834 |  0.011 | 74.746 |    219 | everybody 
  835 |  0.011 | 74.757 |    219 | rank 
  836 |  0.011 | 74.769 |    219 | talked 
  837 |  0.011 | 74.780 |    218 | effort 
  838 |  0.011 | 74.790 |    218 | ice 
  839 |  0.011 | 74.801 |    218 | middle 
  840 |  0.011 | 74.812 |    218 | bit 
  841 |  0.011 | 74.823 |    218 | wrong 
  842 |  0.011 | 74.834 |    218 | spring 
  843 |  0.011 | 74.845 |    218 | steps 
  844 |  0.011 | 74.856 |    217 | darkness 
  845 |  0.011 | 74.867 |    217 | mighty 
  846 |  0.011 | 74.878 |    217 | i'd 
  847 |  0.011 | 74.889 |    217 | sake 
  848 |  0.011 | 74.900 |    217 | glass 
  849 |  0.011 | 74.911 |    216 | months 
  850 |  0.011 | 74.922 |    216 | danger 
  851 |  0.011 | 74.933 |    216 | spirits 
  852 |  0.011 | 74.944 |    216 | ones 
  853 |  0.011 | 74.955 |    216 | worth 
  854 |  0.011 | 74.965 |    215 | easily 
  855 |  0.011 | 74.976 |    215 | quickly 
  856 |  0.011 | 74.987 |    215 | school 
  857 |  0.011 | 74.998 |    214 | single 
  858 |  0.011 | 75.009 |    214 | desire 
  859 |  0.011 | 75.019 |    214 | various 
  860 |  0.011 | 75.030 |    213 | appear 
  861 |  0.011 | 75.041 |    213 | fee 
  862 |  0.011 | 75.052 |    213 | writing 
  863 |  0.011 | 75.062 |    213 | filled 
  864 |  0.011 | 75.073 |    213 | nice 
  865 |  0.011 | 75.084 |    213 | heads 
  866 |  0.011 | 75.094 |    212 | touch 
  867 |  0.011 | 75.105 |    212 | peace 
  868 |  0.011 | 75.116 |    212 | merely 
  869 |  0.011 | 75.126 |    212 | queequeg 
  870 |  0.011 | 75.137 |    211 | bound 
  871 |  0.011 | 75.148 |    211 | stone 
  872 |  0.011 | 75.158 |    211 | appearance 
  873 |  0.011 | 75.169 |    211 | later 
  874 |  0.011 | 75.180 |    211 | beneath 
  875 |  0.011 | 75.190 |    211 | meant 
  876 |  0.011 | 75.201 |    211 | allowed 
  877 |  0.011 | 75.211 |    210 | immediately 
  878 |  0.011 | 75.222 |    210 | closed 
  879 |  0.011 | 75.233 |    210 | deck 
  880 |  0.011 | 75.243 |    209 | grave 
  881 |  0.011 | 75.254 |    209 | french 
  882 |  0.011 | 75.264 |    209 | iron 
  883 |  0.011 | 75.275 |    209 | village 
  884 |  0.010 | 75.285 |    208 | provide 
  885 |  0.010 | 75.296 |    208 | lives 
  886 |  0.010 | 75.306 |    208 | breath 
  887 |  0.010 | 75.317 |    208 | stop 
  888 |  0.010 | 75.327 |    207 | greater 
  889 |  0.010 | 75.338 |    207 | satisfied 
  890 |  0.010 | 75.348 |    206 | entirely 
  891 |  0.010 | 75.358 |    206 | opportunity 
  892 |  0.010 | 75.369 |    205 | somewhat 
  893 |  0.010 | 75.379 |    205 | bottom 
  894 |  0.010 | 75.389 |    205 | joy 
  895 |  0.010 | 75.400 |    205 | tall 
  896 |  0.010 | 75.410 |    204 | third 
  897 |  0.010 | 75.420 |    204 | learned 
  898 |  0.010 | 75.430 |    202 | reading 
  899 |  0.010 | 75.441 |    202 | broad 
  900 |  0.010 | 75.451 |    202 | surprised 
  901 |  0.010 | 75.461 |    201 | office 
  902 |  0.010 | 75.471 |    201 | warm 
  903 |  0.010 | 75.481 |    201 | gold 
  904 |  0.010 | 75.491 |    201 | former 
  905 |  0.010 | 75.501 |    201 | boats 
  906 |  0.010 | 75.511 |    201 | pond 
  907 |  0.010 | 75.522 |    200 | reached 
  908 |  0.010 | 75.532 |    200 | leaves 
  909 |  0.010 | 75.542 |    200 | carriage 
  910 |  0.010 | 75.552 |    199 | b 
  911 |  0.010 | 75.562 |    199 | takes 
  912 |  0.010 | 75.572 |    199 | nobody 
  913 |  0.010 | 75.582 |    199 | seat 
  914 |  0.010 | 75.592 |    199 | waiting 
  915 |  0.010 | 75.602 |    199 | gregor 
  916 |  0.010 | 75.612 |    198 | bent 
  917 |  0.010 | 75.622 |    198 | receive 
  918 |  0.010 | 75.632 |    198 | sad 
  919 |  0.010 | 75.642 |    198 | tired 
  920 |  0.010 | 75.652 |    197 | jonathan 
  921 |  0.010 | 75.662 |    197 | experience 
  922 |  0.010 | 75.672 |    197 | keeping 
  923 |  0.010 | 75.681 |    197 | mere 
  924 |  0.010 | 75.691 |    197 | race 
  925 |  0.010 | 75.701 |    197 | faces 
  926 |  0.010 | 75.711 |    197 | position 
  927 |  0.010 | 75.721 |    197 | force 
  928 |  0.010 | 75.731 |    196 | org 
  929 |  0.010 | 75.741 |    196 | considerable 
  930 |  0.010 | 75.751 |    196 | thin 
  931 |  0.010 | 75.761 |    196 | safe 
  932 |  0.010 | 75.771 |    196 | garden 
  933 |  0.010 | 75.780 |    195 | marriage 
  934 |  0.010 | 75.790 |    195 | worse 
  935 |  0.010 | 75.800 |    195 | respect 
  936 |  0.010 | 75.810 |    195 | seek 
  937 |  0.010 | 75.820 |    195 | journey 
  938 |  0.010 | 75.829 |    194 | breast 
  939 |  0.010 | 75.839 |    194 | papers 
  940 |  0.010 | 75.849 |    194 | passage 
  941 |  0.010 | 75.859 |    194 | considered 
  942 |  0.010 | 75.869 |    194 | bank 
  943 |  0.010 | 75.878 |    193 | chief 
  944 |  0.010 | 75.888 |    193 | carry 
  945 |  0.010 | 75.898 |    193 | begin 
  946 |  0.010 | 75.907 |    193 | glance 
  947 |  0.010 | 75.917 |    193 | dream 
  948 |  0.010 | 75.927 |    193 | curious 
  949 |  0.010 | 75.937 |    193 | circumstances 
  950 |  0.010 | 75.946 |    192 | consider 
  951 |  0.010 | 75.956 |    192 | discovered 
  952 |  0.010 | 75.966 |    192 | threw 
  953 |  0.010 | 75.975 |    192 | pray 
  954 |  0.010 | 75.985 |    192 | sought 
  955 |  0.010 | 75.995 |    192 | lying 
  956 |  0.010 | 76.004 |    192 | sorrow 
  957 |  0.010 | 76.014 |    191 | dare 
  958 |  0.010 | 76.024 |    191 | covered 
  959 |  0.010 | 76.033 |    191 | holding 
  960 |  0.010 | 76.043 |    191 | calm 
  961 |  0.010 | 76.052 |    191 | quietly 
  962 |  0.010 | 76.062 |    190 | remain 
  963 |  0.010 | 76.072 |    190 | marked 
  964 |  0.010 | 76.081 |    190 | broke 
  965 |  0.010 | 76.091 |    190 | flowers 
  966 |  0.010 | 76.100 |    190 | trust 
  967 |  0.010 | 76.110 |    189 | wise 
  968 |  0.010 | 76.119 |    189 | freely 
  969 |  0.010 | 76.129 |    189 | section 
  970 |  0.010 | 76.138 |    189 | lot 
  971 |  0.010 | 76.148 |    189 | changed 
  972 |  0.010 | 76.157 |    189 | rising 
  973 |  0.009 | 76.167 |    188 | c 
  974 |  0.009 | 76.176 |    188 | christmas 
  975 |  0.009 | 76.186 |    188 | passing 
  976 |  0.009 | 76.195 |    188 | noble 
  977 |  0.009 | 76.205 |    188 | breakfast 
  978 |  0.009 | 76.214 |    187 | horses 
  979 |  0.009 | 76.224 |    187 | stranger 
  980 |  0.009 | 76.233 |    187 | spoken 
  981 |  0.009 | 76.243 |    187 | anxious 
  982 |  0.009 | 76.252 |    187 | wrote 
  983 |  0.009 | 76.261 |    187 | miles 
  984 |  0.009 | 76.271 |    186 | snow 
  985 |  0.009 | 76.280 |    186 | windows 
  986 |  0.009 | 76.289 |    186 | engaged 
  987 |  0.009 | 76.299 |    185 | support 
  988 |  0.009 | 76.308 |    185 | sorry 
  989 |  0.009 | 76.317 |    185 | lie 
  990 |  0.009 | 76.327 |    184 | spite 
  991 |  0.009 | 76.336 |    184 | finally 
  992 |  0.009 | 76.345 |    183 | fish 
  993 |  0.009 | 76.354 |    183 | owner 
  994 |  0.009 | 76.364 |    183 | seven 
  995 |  0.009 | 76.373 |    183 | forehead 
  996 |  0.009 | 76.382 |    183 | lower 
  997 |  0.009 | 76.391 |    183 | whilst 
  998 |  0.009 | 76.400 |    182 | copies 
  999 |  0.009 | 76.410 |    182 | dropped 
 1000 |  0.009 | 76.419 |    182 | soft
